Temperature;Turbidity (cm);Dissolved Oxygen (mg/L);Biochemical Oxygen Demand (mg/L);Carbon Dioxide (CO2);pH;Total Alkalinity (mg L-1);Total Hardness (mg L-1);Calcium (mg L-1);Ammonia (mg L-1);Nitrite (mg L-1);Phosphorus (mg L-1);Hydrogen Sulfide (mg L-1);Plankton Count (No. L-1);Water Quality Label;Aquaculture Suitability Tier;Aquaculture Suitability Description
33.01;20.34;6.631;4.124;12.32;9.153;30.575;41.309;141.434;0.035;0.892;0.01;0.005;2.644.973.358;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.16;22.45;7.059;4.516;12.955;6.082;30.883;153.686;215.375;0.037;0.719;2.857;0.004;2.506.296.258;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
18.67;29.47;7.356;5.705;13.603;9.154;144.842;192.947;16.519;0.028;0.587;2.237;0.019;2.714.966.554;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.07;29.7;6.883;4.874;10.059;6.201;43.581;48.87;162.463;0.028;0.115;0.03;0.01;5.413.231.978;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.13;18.3;7.082;3.469;14.151;9.355;128.112;21.978;15.87;0.047;1.701;2.517;0.006;4.936.932.069;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.42;28.18;5.626;2.078;13.137;6.035;44.123;239.453;23.767;0.032;1.635;0.019;0.012;2.912.612.399;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.98;18.37;6.854;3.006;14.984;6.176;28.371;38.566;203.6;0.044;0.099;2.238;0.001;5.180.347.522;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.58;22.13;5.37;2.919;10.278;9.245;27.494;53.832;180.705;0.041;1.923;2.512;0.017;5.712.968.831;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
15.06;28.01;5.349;5.277;11.611;6.146;102.887;156.047;164.028;0.045;1.888;2.662;0.008;2.809.637.631;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
16.45;28.59;7.511;5.301;14.925;6.31;29.671;226.182;19.72;0.041;1.544;0.02;0.007;5.177.667.994;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.84;24.85;7.096;4.707;13.895;9.118;172.775;56.169;121.76;0.027;1.66;2.662;0.003;200.428.149;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.47;28.23;5.047;3.544;13.604;9.057;111.62;32.929;16.348;0.038;1.582;0.025;0.017;5.845.450.937;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.49;25.78;7.124;5.078;13.68;6.118;47.119;218.365;100.045;0.042;0.991;2.826;0.002;2.563.710.229;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.93;18.59;5.893;4.092;10.537;9.45;172.203;280.965;12.421;0.039;0.414;0.016;0.01;2.974.588.777;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
32.62;29.67;7.29;5.71;14.377;6.469;159.018;23.35;189.21;0.038;0.031;0.012;0.006;5.153.502.694;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.24;18.97;5.907;2.632;14.338;9.346;44.487;21.654;11.542;0.039;0.177;0.023;0.003;5.465.687.389;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
18.92;15.99;7.903;4.802;10.307;6.277;37.142;36.742;18.002;0.049;1.122;0.023;0.015;2.672.210.955;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.3;20.5;7.793;3.616;13.876;6.447;34.778;200.304;24.94;0.04;0.922;2.248;0.009;2.586.641.889;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
18.15;19.9;5.813;4.911;10.504;9.331;100.072;59.391;23.171;0.035;1.969;0.017;0.015;2.325.177.423;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
32.11;19.79;5.298;5.698;13.856;9.047;26.854;71.197;16.512;0.035;1.879;2.181;0.013;2.978.300.928;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.89;18.8;7.681;3.735;13.905;9.293;143.39;172.993;19.096;0.048;1.604;0.02;0.003;2.785.263.336;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.01;15.79;5.853;5.405;10.166;9.106;193.929;196.861;22.988;0.03;1.792;2.923;0.014;535.100.362;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.78;15.44;6.378;3.237;12.017;9.151;37.884;71.707;24.683;0.031;0.647;0.018;0.009;2.238.013.814;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
33.47;18.55;5.346;4.958;10.979;6.253;26.531;32.555;180.556;0.029;0.904;2.778;0.011;25.287.417;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.13;25.95;5.713;5.623;12.983;6.43;189.824;291.817;239.347;0.026;1.893;2.111;0.008;470.722.314;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.71;25.93;7.358;3.449;13.281;6.177;132.834;247.797;119.951;0.035;1.185;2.07;0.011;5.964.901.514;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
33.91;27.26;5.513;4.649;12.503;6.302;42.127;164.737;16.333;0.029;1.442;0.029;0.01;2.816.959.183;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.54;25.04;7.564;4.429;11.277;9.293;29.78;208.013;222.795;0.046;1.331;0.016;0.012;5.429.148.806;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.82;29.05;5.363;2.962;11.153;9.259;42.228;25.499;22.878;0.047;0.303;0.022;0.001;2.489.156.665;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
18.49;23.85;7.39;3.319;11.245;9.059;29.047;269.081;11.888;0.028;0.401;0.026;0.006;5.403.293.347;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.55;27.31;6.022;4.386;12.132;6.424;27.716;50.028;14.884;0.04;1.672;2.63;0.002;2.004.957.563;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.07;24.62;7.688;5.163;11.494;9.223;45.64;69.023;22.888;0.05;0.639;2.856;0.01;55.925.795;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
34.82;28.38;7.062;5.406;10.394;6.383;45.959;24.918;24.511;0.033;1.538;2.176;0.003;2.026.265.896;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.75;26.41;5.472;3.48;10.994;6.011;28.506;196.089;216.461;0.038;1.986;2.926;0.018;5.007.315.808;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
32.5;26.83;7.975;5.76;10.882;9.413;123.413;173.817;169.536;0.034;0.639;0.028;0.006;4.638.703.636;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.08;20.82;6.79;4.975;10.409;9.172;187.819;275.167;157.671;0.029;0.45;2.109;0.017;5.014.923.408;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.25;25.84;5.25;2.52;13.202;9.39;124.82;285.92;21.666;0.037;0.2;0.018;0.011;2.425.045.688;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.8;19.96;5.872;4.071;11.136;6.051;28.248;271.178;199.345;0.035;1.833;0.017;0.015;293.146.049;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
16.66;26.13;5.854;5.193;14.745;6.016;116.163;193.864;21.813;0.032;1.313;2.957;0.016;571.716.243;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.95;17.75;5.139;4.983;10.742;9.492;34.821;151.405;237.859;0.027;0.164;0.015;0.006;5.079.364.672;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.02;18.86;5.378;2.572;12.003;9.237;153.241;65.911;11.268;0.049;0.28;2.527;0.016;4.568.434.705;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.78;16.85;6.076;4.489;12.048;9.211;143.496;45.871;12.015;0.03;0.208;0.019;0.015;2.140.183.803;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.41;21.12;5.938;5.975;12.973;9.168;192.383;58.25;18.146;0.039;1.897;0.021;0.013;2.593.705.973;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
33.91;24.0;6.899;2.805;12.116;6.273;165.97;259.461;121.595;0.025;1.96;0.026;0.009;269.506.219;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.07;27.91;7.06;4.563;14.517;9.04;39.064;277.899;10.604;0.047;0.031;0.027;0.018;4.875.126.089;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
30.53;15.97;5.974;3.915;10.045;9.239;30.53;69.897;103.592;0.039;1.207;2.546;0.007;5.319.781.841;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.69;26.14;7.47;3.459;13.379;9.159;36.052;259.984;13.038;0.042;1.912;0.01;0.019;2.440.316.856;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
31.83;23.26;5.957;3.447;14.693;9.429;38.183;20.679;183.34;0.049;0.172;2.267;0.009;2.213.346.202;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.46;62.59;4.393;1.529;13.179;7.027;46.826;115.144;41.571;0.012;0.012;1.415;0.02;3704.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.39;74.63;4.053;1.268;12.87;7.578;60.537;104.812;86.13;0.023;0.014;1.584;0.02;4130.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.55;52.51;4.258;1.193;12.548;7.582;70.768;119.807;67.783;0.011;0.011;0.047;0.019;4389.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.18;73.35;4.241;1.174;11.917;8.678;81.966;100.738;69.08;0.005;0.002;0.524;0.019;4348.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.26;67.52;4.44;1.184;14.343;8.367;51.29;89.357;74.899;0.007;0.008;0.214;0.019;3527.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.22;52.41;3.09;1.296;13.072;7.492;95.381;75.38;37.568;0.0;0.009;1.576;0.019;4279.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.37;60.33;4.612;1.378;13.505;6.916;35.683;84.983;59.226;0.021;0.001;0.062;0.019;4121.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.46;65.01;3.789;1.634;14.775;7.855;51.373;115.253;51.99;0.023;0.014;1.674;0.02;3340.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.3;41.67;3.33;1.38;11.142;6.551;66.504;86.776;33.812;0.012;0.006;0.166;0.02;4266.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
25.22;52.7;4.795;1.464;13.638;6.801;96.203;107.07;44.922;0.016;0.02;0.404;0.019;3342.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.47;32.39;4.785;1.756;10.995;8.085;75.942;144.118;81.013;0.008;0.002;0.182;0.019;4131.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.36;60.57;4.69;1.256;12.207;7.712;41.476;137.022;70.684;0.004;0.0;1.509;0.019;3605.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.71;30.85;4.194;1.682;11.695;8.987;74.137;148.959;50.099;0.006;0.004;0.318;0.019;3513.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.67;61.22;3.835;1.041;13.345;8.147;76.026;139.211;51.274;0.014;0.016;0.799;0.019;3222.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
22.29;39.72;4.114;1.454;14.912;8.931;30.186;90.084;60.64;0.018;0.009;0.934;0.02;3380.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.01;55.29;4.088;1.797;13.349;8.702;33.148;99.455;52.339;0.004;0.006;0.422;0.019;4216.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.1;53.99;4.437;1.566;10.701;8.261;62.795;138.225;79.69;0.005;0.006;0.668;0.02;3409.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.92;65.53;3.746;1.607;12.304;6.708;70.312;80.052;61.838;0.011;0.02;1.918;0.02;3252.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.95;64.52;3.48;1.752;10.114;7.604;30.442;134.782;29.357;0.016;0.015;0.341;0.019;4471.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.5;66.3;4.338;1.674;11.824;6.501;71.675;128.343;98.756;0.006;0.003;1.44;0.02;4019.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.55;52.05;3.073;1.732;11.665;8.197;46.656;101.764;30.444;0.002;0.013;0.493;0.019;3092.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.31;46.43;3.771;1.362;14.636;8.437;27.915;105.732;54.578;0.009;0.009;1.628;0.02;3713.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.8;57.36;4.566;1.895;11.591;8.78;57.61;79.953;80.572;0.003;0.014;1.575;0.019;3105.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.58;72.92;3.687;1.972;13.173;7.386;37.416;137.764;77.113;0.012;0.014;1.493;0.019;3580.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.29;75.72;4.132;1.011;13.65;7.86;40.849;97.275;25.886;0.002;0.003;1.493;0.019;3937.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.94;61.3;3.637;1.545;11.051;8.133;75.62;142.267;65.837;0.018;0.01;0.2;0.02;4349.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.58;55.86;4.986;1.709;11.921;6.944;74.396;97.987;54.944;0.009;0.011;0.63;0.02;4171.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.55;56.87;3.055;1.929;10.586;8.962;65.495;105.492;48.184;0.019;0.011;0.932;0.019;3870.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.32;38.05;3.545;1.034;10.645;6.507;61.838;139.257;61.422;0.012;0.008;1.102;0.02;4029.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.14;36.91;4.005;1.915;13.419;6.989;26.476;110.751;99.89;0.014;0.011;0.867;0.02;4488.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.38;59.77;3.739;1.578;13.556;7.671;91.139;112.792;96.667;0.007;0.014;0.473;0.019;3228.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.52;60.35;3.444;1.14;12.023;7.892;49.107;126.135;86.2;0.004;0.01;0.732;0.019;3486.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
22.57;62.22;3.773;1.309;10.032;7.135;73.665;95.91;97.512;0.006;0.011;0.203;0.019;3178.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
25.49;33.18;4.609;1.248;11.736;8.987;85.745;136.547;50.458;0.017;0.002;0.858;0.019;3141.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.38;33.17;4.569;1.047;12.87;7.617;94.112;149.842;91.225;0.006;0.009;0.137;0.02;3868.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.5;60.19;4.311;1.199;12.662;6.638;85.129;131.383;52.989;0.003;0.003;1.997;0.019;3707.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.06;50.41;3.715;1.298;11.141;8.241;53.363;144.948;38.855;0.017;0.014;0.404;0.02;4341.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.11;51.94;3.678;1.99;14.901;7.094;85.664;128.404;44.009;0.005;0.02;0.56;0.019;3234.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.15;33.97;3.105;1.973;11.199;7.249;27.938;123.294;68.554;0.009;0.018;0.245;0.02;3116.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
22.72;50.38;4.726;1.5;12.333;7.14;40.361;144.448;60.179;0.014;0.008;1.902;0.019;3495.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.29;35.65;3.148;1.59;13.168;6.718;76.106;132.051;79.826;0.003;0.015;1.325;0.019;3312.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.47;79.86;4.369;1.732;14.973;7.919;71.537;86.85;86.786;0.014;0.009;1.757;0.019;3318.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
24.65;65.29;4.147;1.996;14.194;7.165;89.686;138.527;84.431;0.013;0.017;1.827;0.019;3060.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.84;53.27;3.862;1.952;12.498;6.58;59.271;148.601;51.619;0.015;0.009;0.087;0.019;4474.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.49;36.02;3.972;1.005;10.989;8.1;92.661;111.513;35.918;0.004;0.014;0.931;0.02;3323.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.22;67.54;4.357;1.89;10.198;8.002;35.006;144.947;36.547;0.007;0.013;0.867;0.02;3599.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.79;78.26;3.406;1.244;12.881;6.978;40.324;114.949;52.103;0.02;0.001;0.99;0.02;3092.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.55;73.34;3.737;1.087;11.167;8.22;91.561;127.488;62.044;0.011;0.012;1.819;0.02;3670.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.6;73.99;4.52;1.898;12.16;7.276;49.552;126.33;62.146;0.003;0.005;1.808;0.019;4110.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.05;38.68;3.21;1.899;10.396;7.566;39.873;147.146;57.155;0.007;0.011;1.27;0.019;3217.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
20.15;29.45;4.534;3.889;4.92;4.752;46.623;33.125;78.739;0.011;0.014;0.02;0.012;3908.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.63;23.2;5.19;1.747;6.94;3.085;27.371;215.067;12.495;0.028;1.251;0.021;0.019;5431.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
25.88;22.82;6.494;1.141;6.412;9.649;33.083;64.337;79.068;0.01;0.011;0.024;0.019;3806.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.18;18.47;7.871;1.483;0.896;4.82;129.31;60.705;209.232;0.031;1.068;2.546;0.02;4338.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
28.76;22.33;7.404;4.429;1.482;10.244;245.718;98.644;20.008;0.001;1.342;2.112;0.019;4146.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.36;24.36;7.663;1.055;4.758;12.713;231.864;121.937;135.379;0.035;0.473;1.43;0.015;2906.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
17.84;25.19;3.198;3.133;5.884;10.474;147.421;251.621;98.881;0.042;1.35;0.021;0.013;2022.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.27;20.93;7.535;1.243;5.081;1.49;30.16;86.522;150.976;0.008;0.01;1.763;0.02;2266.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.16;20.51;7.278;1.689;6.304;0.048;26.579;259.719;50.217;0.017;0.011;1.259;0.012;3600.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
15.2;29.82;5.871;1.398;5.903;0.004;41.934;188.796;203.872;0.043;0.017;0.96;0.019;5931.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.89;15.57;5.163;1.6;5.136;13.653;39.701;95.991;72.681;0.013;0.31;0.328;0.02;4484.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
18.59;28.28;5.727;1.169;7.72;5.113;45.668;88.838;208.745;0.029;0.02;2.246;0.019;2998.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
20.76;28.7;4.698;1.065;7.659;4.244;25.753;93.422;75.425;0.022;1.139;2.777;0.019;5249.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.28;26.94;5.553;1.954;7.478;13.345;34.405;213.281;131.72;0.019;0.0;2.208;0.017;3858.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
26.81;16.48;4.154;1.564;5.466;4.806;31.463;76.288;228.985;0.013;0.013;0.028;0.02;2128.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.84;18.93;7.209;1.534;3.826;1.865;248.647;226.017;94.615;0.035;0.013;2.277;0.019;2717.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
20.61;20.03;4.44;1.712;6.895;2.856;43.119;124.77;18.562;0.007;1.228;0.023;0.003;4185.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
19.93;25.2;4.775;1.242;5.404;12.995;27.146;135.654;22.557;0.039;0.008;1.629;0.002;4377.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
16.9;17.05;6.32;3.734;7.007;0.066;189.656;87.039;21.973;0.037;0.54;2.974;0.003;3253.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.86;25.82;7.965;1.613;5.931;5.535;46.374;118.548;65.411;0.036;0.001;2.261;0.019;3544.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
27.39;16.6;3.827;3.115;5.77;12.483;32.498;115.987;125.312;0.043;0.587;2.536;0.01;4758.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
21.91;24.81;6.74;3.751;1.879;2.192;26.711;102.857;17.762;0.021;0.014;0.024;0.001;4535.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
29.68;22.41;4.262;1.565;6.598;11.675;257.941;71.238;155.797;0.013;1.62;1.721;0.019;3498.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
22.46;26.69;3.696;1.332;5.457;4.876;264.407;145.41;22.929;0.012;0.017;0.571;0.02;2140.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
23.34;25.73;7.807;3.517;4.519;4.955;264.955;129.328;13.315;0.037;0.716;0.015;0.02;3968.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
20.87;28.56;4.948;3.655;7.751;9.963;226.552;42.264;26.388;0.013;0.005;1.049;0.019;2664.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
16.29;28.36;5.618;1.951;5.782;4.97;131.203;245.159;20.205;0.021;0.014;0.024;0.0;2727.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
